代號,名稱,成交,漲跌價,漲跌幅,K值(日),D值(日),RSI6(日),RSI12(日),DIF(日),MACD(日),OSC(日),#NAME?,#NAME?,ADX(日),布林%b,布林上軌,布林下軌,5日均線,20日均線,60日均線,外資買賣超張數,投信買賣超張數,自營買賣超張數,合計買賣超張數,外資5日累計,外資10日累計,外資1月累計,投信5日累計,投信10日累計,投信1月累計,融資增減,融券增減,券資比(%),融資餘額,融券餘額,技術面評分,技術訊號,籌碼面評分,籌碼訊號,綜合評分,趨勢,美股連動,11/11預測方向,短期策略_2週,中期策略_1月,風險等級,推薦評等,評分數值,修正後評分,美股加分,修正後趨勢,修正後建議,修正後評等,原評分,評分變化
3491,昇達科,429.5,-1.5,-0.35,42.7,36,45.6,46.6,-2.61,0.1,-5.43,21.2,21.8,17.3,0.33,465.4,412.2,427.6,438.8,421.8,-174,38,37,-99,-297,-60,619,137,-562,-1340,-24,10,4.03,4141,167,2.5,KD轉多 | RSI健康,5.5,外資中性 | 外資累計中性 | 投信中性 | 籌碼健康,3.7,偏弱,,反彈修復,觀望為主,不建議進場,高,⭐,1,3.05,0,弱勢,❌ 不建議,⭐,3.7,-0.65
2301,光寶科,169,2.5,1.5,19.5,30.5,40.6,47.6,2.08,4.04,-3.92,26.1,26.3,21.4,0.41,190,154.2,168.7,172.1,156.8,-1287,177,233,-877,-7369,-33373,-28838,-3340,-5352,-15347,-156,21,2.01,24666,495,3.2,MACD多頭 | 布林中性,4,外資賣超 | 外資持續賣超 | 投信中性 | 籌碼健康,3.5,偏弱,,反彈修復,觀望為主,不建議進場,高,⭐,1,2.84,0,弱勢,❌ 不建議,⭐,3.5,-0.66
2882,國泰金,63.8,0.3,0.47,17.2,19.4,38.8,41.1,-0.32,-0.14,-0.36,18.6,21.1,14.6,0.13,66.52,63.39,64.14,64.96,64.7,570,614,36,1219,-6096,-18137,-9728,1514,-1088,-9580,19,-4,6.87,6375,438,3.5,💡KD超賣 | 🔵布林超賣,4.5,外資中性 | 外資持續賣超 | 投信買超,3.9,偏弱,,反彈修復,觀望為主,不建議進場,高,⭐,1,3.15,0,弱勢,❌ 不建議,⭐,3.9,-0.75
2308,台達電,982,17,1.76,26.9,27.6,45.1,51.1,20.3,35.7,-30.8,30.1,24.7,41.2,0.28,1072,946.9,973.4,1009,862.2,-1091,251,250,-590,-8194,-28803,-26565,920,-1976,-4110,24,-21,11.9,7018,837,4.5,RSI健康 | MACD多頭 | DMI強勢多頭,3.5,外資賣超 | 外資持續賣超 | 投信中性,4.1,偏弱,,續弱整理,觀察進場點,反彈佈局點,中高,⭐⭐,2,3.25,0,弱勢,❌ 不建議,⭐,4.1,-0.85
2884,玉山金,29.5,-0.1,-0.34,13.8,16.7,21.9,26.1,-0.86,-0.76,-0.19,14.7,37.1,43,0.19,33.78,28.53,29.93,31.16,32.76,-8912,-1119,287,-9744,-69068,-179605,-283847,971,-6050,-22979,304,42,0.86,16870,145,5,💡KD超賣 | 💡RSI超賣 | 🔵布林超賣,2,⚠️外資大賣 | 外資持續大賣 | 投信大賣 | 籌碼健康,3.8,偏弱,,續弱整理,觀望為主,不建議進場,高,⭐,1,2.95,0,弱勢,❌ 不建議,⭐,3.8,-0.85
6208,富邦台50,148,1.75,1.2,38,53.9,49.3,56.7,2.97,3.83,-1.72,37.7,29,36.2,0.55,152.8,142.2,148,147.5,135.3,,,,,,,,,,,,,,,,6.2,RSI健康 | MACD多頭 | 站穩月線 | DMI強勢多頭 | 布林中性,0,-,3.7,偏弱,,續弱整理,觀望為主,不建議進場,高,⭐,1,2.79,0,弱勢,❌ 不建議,⭐,3.7,-0.91
3008,大立光,2245,40,1.81,48.3,36.5,57.1,48.1,-31.8,-32.7,1.72,19.8,25.2,15.5,0.57,2301,2171,2215,2236,2324,53,4,12,69,-54,-411,-1507,33,34,14,-22,0,0.93,857,8,5.7,KD轉多 | RSI健康 | MACD黃金交叉 | 站穩月線 | 布林中性,5.5,外資中性 | 外資累計中性 | 投信中性 | 籌碼健康,5.6,中性,,震盪偏弱,持有觀察,逢低分批,中,⭐⭐⭐,3,4.49,0,偏弱,⚠️ 謹慎觀望,⭐,5.6,-1.11
3661,世芯-KY,3715,150,4.21,87.3,79.5,69.8,62.1,24.4,-41.6,132,30.6,20.8,17.9,1.01,3706,2902,3547,3304,3622,-194,100,100,6,86,-193,-1727,527,1040,254,-128,18,2.23,5149,115,6,KD多頭 | RSI偏強 | MACD轉多 | 短中期多頭 | DMI多頭 | 布林強勢,5.5,外資中性 | 外資累計中性 | 投信中性 | 籌碼健康,5.8,中性,,震盪偏弱,持有觀察,逢低分批,中,⭐⭐⭐,3,4.625,0,偏弱,⚠️ 謹慎觀望,⭐,5.8,-1.175
3711,日月光投控,228.5,0,0,64.5,75.1,56.5,66,16.6,15.6,2.08,42,18.1,48.4,0.69,257.6,162.6,233,210.1,177.2,4027,553,700,5281,20056,51640,99622,1963,915,1710,-63,6,13.3,5905,786,5.5,RSI健康 | MACD多頭 | 站穩月線 | DMI強勢多頭,7.7,外資買超 | 外資持續大買 | 投信買超,6.4,中性,,震盪偏弱,持有觀察,中期持有,中,⭐⭐⭐⭐,4,5.17,0,中性,➡️ 持有觀察,⭐⭐,6.4,-1.23
2880,華南金,29.65,-0.1,-0.34,62.2,53.7,54.4,54.6,0.09,0.1,-0.02,14.5,17.2,12.9,0.57,29.96,29.22,29.66,29.6,29.09,-1416,201,305,-910,3516,12063,34487,2412,2174,-34,28,0,9.77,481,47,6.7,KD多頭 | RSI健康 | MACD多頭 | 站穩月線 | 布林中性,5.2,外資賣超 | 外資持續買超 | 投信中性,6.1,中性,,震盪偏弱,持有觀察,中期持有,中,⭐⭐⭐⭐,4,4.835,0,偏弱,⚠️ 謹慎觀望,⭐,6.1,-1.265
2891,中信金,42.4,0.5,1.19,39.4,32.3,55.1,51.6,-0.09,-0.11,0.04,24.5,22.1,7.83,0.65,42.76,41.72,42.3,42.24,42.46,4577,387,-17,4947,15214,-8315,-18942,-6236,-10235,-47857,-296,9,2.72,4970,135,6,KD轉多 | RSI健康 | MACD黃金交叉 | 短中期多頭 | DMI多頭,8,外資買超 | 外資持續大買 | 投信買超 | 籌碼健康,6.8,中性,,震盪偏弱,持有觀察,中期持有,中,⭐⭐⭐⭐,4,1.5,-4,弱勢,❌ 不建議,⭐,6.8,-5.3
